Ticekr,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,1/08/2012,87.987144,88.057144,86.14286,86.687141,75.426552,96125400
AAPL,2/08/2012,86.120003,87.241432,85.75,86.827141,75.548363,83039600
AAPL,3/08/2012,87.66143,88.28286,87.365715,87.957146,76.531601,86230200
AAPL,6/08/2012,88.184288,89.267143,87.894287,88.935715,77.383049,75525800
AAPL,7/08/2012,88.96714,89.285713,88.291428,88.701431,77.179199,72611700
AAPL,8/08/2012,88.484283,89.125717,88.157143,88.55143,77.048676,61176500
AAPL,9/08/2012,88.264282,88.818573,88.257141,88.675713,77.488098,55410600
AAPL,10/08/2012,88.387146,88.822861,88.385712,88.814285,77.609184,48734700
AAPL,13/08/2012,89.055717,90,89.035713,90,78.645302,69708100
AAPL,14/08/2012,90.267143,91.230003,90.029999,90.241432,78.85627,85042300
AAPL,15/08/2012,90.185715,90.571426,89.678574,90.118568,78.748901,64335600
AAPL,16/08/2012,90.172859,90.965714,90.071426,90.905716,79.436752,63633500
AAPL,17/08/2012,91.428574,92.598572,91.258568,92.587143,80.906044,110690300
AAPL,20/08/2012,92.858574,95.021431,92.842857,95.021431,83.033203,153346200
AAPL,21/08/2012,95.831429,96.41143,92.904289,93.722855,81.898483,203179900
AAPL,22/08/2012,93.488571,95.571426,92.587143,95.552856,83.497574,141330700
AAPL,23/08/2012,95.158569,95.699997,94.449997,94.66143,82.718636,105032200
AAPL,24/08/2012,94.215714,95.639999,93.650002,94.745712,82.792305,109335100
AAPL,27/08/2012,97.141426,97.267143,96.220001,96.525711,84.347717,106752100
AAPL,28/08/2012,96.425713,96.585716,95.809998,96.400002,84.237877,66854200
AAPL,29/08/2012,96.464287,96.809998,96.085716,96.209999,84.071815,50701700
AAPL,30/08/2012,95.805717,95.935715,94.692856,94.83857,82.873436,75674900
AAPL,31/08/2012,95.321426,95.514282,93.89286,95.034286,83.044464,84580300
AAPL,4/09/2012,95.108574,96.44857,94.928574,96.424286,84.259094,91973000
AAPL,5/09/2012,96.510002,96.621429,95.657143,95.747147,83.667366,84093800
AAPL,6/09/2012,96.167145,96.898575,95.828575,96.610001,84.421394,97799100
AAPL,7/09/2012,96.864288,97.497147,96.538574,97.205711,84.94194,82416600
AAPL,10/09/2012,97.207146,97.612854,94.585716,94.677139,82.732361,121999500
AAPL,11/09/2012,95.015717,95.728569,93.785713,94.370003,82.463966,125995800
AAPL,12/09/2012,95.264282,95.699997,93.714287,95.684288,83.612457,178058300
AAPL,13/09/2012,96.767143,97.928574,96.395714,97.568573,85.259003,149590000
AAPL,14/09/2012,98.565712,99.568573,98.269997,98.754288,86.295128,150118500
AAPL,17/09/2012,99.907143,99.971428,99.230003,99.968575,87.356209,99507800
AAPL,18/09/2012,99.982857,100.332855,99.488571,100.272858,87.622108,93375800
AAPL,19/09/2012,100.03714,100.57,99.938568,100.300003,87.645813,81718700
AAPL,20/09/2012,99.879997,100.008568,99.08857,99.814285,87.221397,84142100
AAPL,21/09/2012,100.344284,100.724289,99.908569,100.012856,87.39492,142897300
AAPL,24/09/2012,98.122856,99.302856,97.571426,98.684288,86.233955,159941600
AAPL,25/09/2012,98.322861,98.968575,96.14286,96.220001,84.080582,129697400
AAPL,26/09/2012,95.534286,96.098572,94.457146,95.025711,83.036949,144125800
AAPL,27/09/2012,94.898575,97.452858,94.335716,97.331429,85.051788,148522500
AAPL,28/09/2012,96.964287,97.30143,95.25,95.300003,83.276634,133777700
AAPL,1/10/2012,95.879997,96.678574,93.785713,94.19857,82.314178,135898700
AAPL,2/10/2012,94.544289,95.192856,92.949997,94.472855,82.553856,156998100
AAPL,3/10/2012,94.980003,95.980003,94.66143,95.921425,83.819672,106070300
AAPL,4/10/2012,95.89286,96.321426,95.078575,95.257141,83.239174,92681400
AAPL,5/10/2012,95.028572,95.14286,93.040001,93.227142,81.465286,148501500
AAPL,8/10/2012,92.41143,92.508568,90.872856,91.167145,79.665184,159498500
AAPL,9/10/2012,91.235718,91.498573,89.078575,90.835716,79.37558,209649300
AAPL,10/10/2012,91.391426,92.139999,91,91.558571,80.007248,127589000
AAPL,11/10/2012,92.35714,92.457146,89.728569,89.728569,78.408127,136520300
AAPL,12/10/2012,89.937141,90.76857,89.328575,89.958572,78.6091,115003700
AAPL,15/10/2012,90.335716,90.732857,89.121429,90.68,79.239525,108125500
AAPL,16/10/2012,90.767143,92.900002,90.14286,92.827141,81.115761,137442900
AAPL,17/10/2012,92.695717,93.255714,92,92.087143,80.469109,97259400
AAPL,18/10/2012,91.370003,91.722855,90,90.377144,78.974846,119156100
AAPL,19/10/2012,90.150002,90.252853,87.08857,87.120003,76.128654,186021500
AAPL,22/10/2012,87.488571,90.76857,87.251427,90.575714,79.148384,136682700
AAPL,23/10/2012,90.14286,90.557144,87.385712,87.622856,76.568062,176786400
AAPL,24/10/2012,88.777145,89.507141,87.234283,88.118568,77.001244,139631800
AAPL,25/10/2012,88.571426,88.85714,86.507141,87.077141,76.091209,164081400
AAPL,26/10/2012,87.061432,87.714287,84.428574,86.285713,75.39962,254608200
AAPL,31/10/2012,84.982857,85.994286,83.957146,85.045715,74.316071,127500800
AAPL,1/11/2012,85.459999,86.14286,84.881432,85.220001,74.468384,90324500
AAPL,2/11/2012,85.127144,85.278572,82.10714,82.400002,72.00412,149843400
AAPL,5/11/2012,83.360001,83.96714,82.514282,83.517143,72.980354,132283900
AAPL,6/11/2012,84.318573,84.391426,82.870003,83.264282,72.759407,93729300
AAPL,7/11/2012,81.977142,82.077141,79.39286,79.714287,69.975441,198412200
AAPL,8/11/2012,80.089996,80.318573,76.470001,76.821426,67.435959,264036500
AAPL,9/11/2012,77.202858,79.26857,76.245712,78.151428,68.6035,232478400
AAPL,12/11/2012,79.164284,79.214287,76.949997,77.547142,68.073044,128950500
AAPL,13/11/2012,76.987144,78.639999,76.622856,77.557144,68.08181,133237300
AAPL,14/11/2012,77.928574,78.207146,76.597145,76.697144,67.326889,119292600
AAPL,15/11/2012,76.790001,77.071426,74.660004,75.08857,65.914833,197477700
AAPL,16/11/2012,75.028572,75.714287,72.25,75.382858,66.173149,316723400
AAPL,19/11/2012,77.244286,81.071426,77.125717,80.818573,70.944801,205829400
AAPL,20/11/2012,81.701431,81.707146,79.225716,80.129997,70.340355,160688500
AAPL,21/11/2012,80.60714,81.052856,79.514282,80.242859,70.439415,93250500
AAPL,23/11/2012,81.024284,81.714287,80.371429,81.64286,71.668404,68206600
AAPL,26/11/2012,82.271431,84.285713,81.958572,84.218575,73.929398,157644900
AAPL,27/11/2012,84.221428,84.345711,82.871429,83.540001,73.33374,133332500
AAPL,28/11/2012,82.46714,83.685715,81.751427,83.277145,73.103004,130216100
AAPL,29/11/2012,84.317146,84.89286,83.60714,84.194283,73.908081,128674700
AAPL,30/11/2012,83.827141,84.057144,83.239998,83.611427,73.396439,97829900
AAPL,3/12/2012,84.807144,84.941429,83.64286,83.741432,73.510567,91070000
AAPL,4/12/2012,83.114288,83.114288,81.732857,82.264282,72.213882,139267100
AAPL,5/12/2012,81.272858,81.321426,76.96714,76.970001,67.566399,261159500
AAPL,6/12/2012,75.562859,79.044289,74.089996,78.177139,68.626076,294303100
AAPL,7/12/2012,79.057144,79.314285,75.714287,76.178574,66.871666,196760200
AAPL,10/12/2012,75,76.93,74.511429,75.688568,66.441528,157621100
AAPL,11/12/2012,77.110001,78.508568,76.767143,77.341431,67.892464,148086400
AAPL,12/12/2012,78.252853,78.285713,76.610001,77,67.592758,121786000
AAPL,13/12/2012,75.878571,76.805717,75.114288,75.669998,66.425201,156314900
AAPL,14/12/2012,73.535713,74.01857,72.225716,72.827141,63.92968,252394800
AAPL,17/12/2012,72.704285,74.285713,71.604286,74.118568,65.063339,189401800
AAPL,18/12/2012,75,76.414284,74.321426,76.271431,66.953171,156421300
AAPL,19/12/2012,75.924286,76.242859,75.071426,75.187141,66.001366,112342300
AAPL,20/12/2012,75.714287,75.742859,74.125717,74.53286,65.426994,120422400
AAPL,21/12/2012,73.209999,74.238571,72.891426,74.190002,65.126045,149067100
AAPL,24/12/2012,74.335716,74.89286,74.101425,74.309998,65.231392,43938300
AAPL,26/12/2012,74.14286,74.208572,73.017143,73.285713,64.33223,75609100
AAPL,27/12/2012,73.362854,73.75,72.094284,73.580002,64.590576,113780100
AAPL,28/12/2012,72.898575,73.497147,72.58857,72.798569,63.904606,88569600
AAPL,31/12/2012,72.932854,76.485718,72.714287,76.024284,66.736229,164873100
AAPL,2/01/2013,79.117142,79.285713,77.375717,78.432854,68.850548,140129500
AAPL,3/01/2013,78.26857,78.524284,77.285713,77.442856,67.981491,88241300
AAPL,4/01/2013,76.709999,76.947144,75.118568,75.285713,66.087891,148583400
AAPL,7/01/2013,74.571426,75.614288,73.599998,74.842857,65.699158,121039100
AAPL,8/01/2013,75.601425,75.984283,74.464287,75.044289,65.875954,114676800
AAPL,9/01/2013,74.64286,75.001427,73.71286,73.871429,64.84639,101901100
AAPL,10/01/2013,75.507141,75.531425,73.645714,74.78714,65.650238,150286500
AAPL,11/01/2013,74.428574,75.045715,74.145714,74.328575,65.247704,87626700
AAPL,14/01/2013,71.811432,72.5,71.215714,71.678574,62.921452,183551900
AAPL,15/01/2013,71.185715,71.284286,69.054283,69.417145,60.936287,219193100
AAPL,16/01/2013,70.662857,72.777145,70.35714,72.298569,63.465691,172701200
AAPL,17/01/2013,72.901428,72.964287,71.718575,71.811432,63.038078,113419600
AAPL,18/01/2013,71.21714,71.745712,70.914284,71.428574,62.701996,118230700
AAPL,22/01/2013,72.080002,72.554283,70.947144,72.110001,63.300167,115386600
AAPL,23/01/2013,72.687141,73.57,72.110001,73.43,64.458878,215377400
AAPL,24/01/2013,65.714287,66.53286,64.321426,64.35714,56.49448,365213100
AAPL,25/01/2013,64.527145,65.175713,62.142857,62.84,55.162701,302006600
AAPL,28/01/2013,62.547142,64.744286,62.265713,64.261429,56.410473,196379400
AAPL,29/01/2013,65.5,65.742859,64.58857,65.46714,57.468884,142789500
AAPL,30/01/2013,65.285713,66.085716,64.928574,65.261429,57.288307,104288800
AAPL,31/01/2013,65.28286,65.611427,64.997147,65.07,57.120266,79833600
AAPL,1/02/2013,65.587143,65.639999,64.050003,64.802856,56.885754,134871100
AAPL,4/02/2013,64.844284,65.134285,63.142857,63.188572,55.468674,119279300
AAPL,5/02/2013,63.435715,65.677139,63.174286,65.405716,57.414951,143336900
AAPL,6/02/2013,65.209999,66.64286,64.654289,65.335716,57.353516,148426600
AAPL,7/02/2013,66.178574,67.14286,64.874283,66.888573,59.058853,176145200
AAPL,8/02/2013,67.714287,68.401428,66.89286,67.854286,59.911518,158289600
AAPL,11/02/2013,68.071426,69.277145,67.60714,68.561432,60.535877,129372600
AAPL,12/02/2013,68.501427,68.91143,66.82,66.842857,59.018475,152263300
AAPL,13/02/2013,66.744286,67.662857,66.174286,66.715714,58.906216,118801900
AAPL,14/02/2013,66.360001,67.377144,66.288574,66.655716,58.853249,88818800
AAPL,15/02/2013,66.978569,67.165718,65.702858,65.737144,58.042206,97936300
AAPL,19/02/2013,65.871429,66.104286,64.835716,65.71286,58.020763,108945900
AAPL,20/02/2013,65.384285,65.384285,64.114288,64.121429,56.615623,119075600
AAPL,21/02/2013,63.714287,64.167145,63.259998,63.722858,56.263714,111795600
AAPL,22/02/2013,64.178574,64.514282,63.799999,64.401428,56.862831,82663700
AAPL,25/02/2013,64.835716,65.017143,63.224285,63.257141,55.852501,93144800
AAPL,26/02/2013,63.402859,64.505714,62.522858,64.138573,56.630756,125374900
AAPL,27/02/2013,64.061432,64.634285,62.950001,63.509998,56.075764,146837600
AAPL,28/02/2013,63.435715,63.98143,63.057144,63.057144,55.675922,80628800
AAPL,1/03/2013,62.57143,62.597141,61.425713,61.495716,54.297264,138112100
AAPL,4/03/2013,61.114285,61.171429,59.857143,60.007141,52.982929,145688900
AAPL,5/03/2013,60.21143,62.169998,60.107143,61.591427,54.381771,159608400
AAPL,6/03/2013,62.072857,62.17857,60.632858,60.808571,53.690552,115062500
AAPL,7/03/2013,60.642857,61.715714,60.151428,61.511429,54.311134,117118400
AAPL,8/03/2013,61.400002,62.204285,61.23,61.674286,54.454929,97870500
AAPL,11/03/2013,61.392857,62.715714,60.734287,62.552856,55.230663,118559000
AAPL,12/03/2013,62.228573,62.697144,61.081429,61.204285,54.03994,116477900
AAPL,13/03/2013,61.207142,62.07143,60.765713,61.192856,54.029842,101387300
AAPL,14/03/2013,61.832859,62.091427,61.492859,61.785713,54.55331,75968900
AAPL,15/03/2013,62.561428,63.46143,62.464287,63.380001,55.960979,160990200
AAPL,18/03/2013,63.064285,65.351425,63.028572,65.102859,57.482178,151549300
AAPL,19/03/2013,65.64286,65.852859,64.071426,64.927139,57.327007,131693800
AAPL,20/03/2013,65.345711,65.375717,64.227142,64.582855,57.023029,77165200
AAPL,21/03/2013,64.317146,65.425713,64.300003,64.675713,57.105022,95813900
AAPL,22/03/2013,64.940002,66.014282,64.730003,65.987144,58.262951,98776300
AAPL,25/03/2013,66.384285,67.135712,65.968575,66.225716,58.473579,125283900
AAPL,26/03/2013,66.491432,66.548569,65.790001,65.877144,58.165817,73573500
AAPL,27/03/2013,65.208572,65.257141,64.389999,64.582855,57.023029,82809300
AAPL,28/03/2013,64.260002,64.545715,63.08857,63.237144,55.834843,110709900
AAPL,1/04/2013,63.128571,63.385715,61.105713,61.272858,54.100498,97433000
AAPL,2/04/2013,61.085712,62.591427,60.914288,61.398571,54.211483,132379800
AAPL,3/04/2013,61.624287,62.468571,61.472858,61.712856,54.488991,90804000
AAPL,4/04/2013,61.965714,62.142857,60.75,61.102856,53.95039,89611900
AAPL,5/04/2013,60.642857,60.707142,59.954285,60.457142,53.380264,95923800
AAPL,8/04/2013,60.692856,61.07143,60.355713,60.887142,53.759933,75207300
AAPL,9/04/2013,60.908573,61.214287,60.392857,60.997143,53.857048,76653500
AAPL,10/04/2013,61.157143,62.437141,60.85857,62.241428,54.955688,93982000
AAPL,11/04/2013,61.959999,62.57,61.599998,62.047142,54.784145,82091100
AAPL,12/04/2013,62.021427,62.021427,61.298573,61.400002,54.212742,59653300
AAPL,15/04/2013,61,61.127144,59.935715,59.978573,52.95771,79380000
AAPL,16/04/2013,60.224285,60.944286,60.081429,60.89143,53.763706,76442800
AAPL,17/04/2013,60.03857,60.085712,56.872856,57.542858,50.80711,236264000
AAPL,18/04/2013,57.855713,57.970001,55.677143,56.007141,49.451168,166574800
AAPL,19/04/2013,55.424286,57.085712,55.014286,55.790001,49.259438,152318600
AAPL,22/04/2013,56.091427,57.457142,55.895714,56.952858,50.286175,107480100
AAPL,23/04/2013,57.712856,58.34,56.972858,58.01857,51.227139,166059600
